document_id,user_id,document_type,document_number,expiry_date,mandatory
0ba48a5c-c1e3-4836-b622-cfd07b904582,1,Passport,7539853,2028-05-26,True
1f14fe2f-ddc6-471d-aae0-c4890a22acb9,2,Passport,5209581,2031-04-26,True
e7ec0818-6407-4544-961c-293701de1b75,3,Passport,6921584,2031-05-03,True
51479af7-6dbc-4c9b-9af7-11747a7687d8,4,Health Card,9307731,2028-07-13,True
bea33989-e415-4748-a61c-c4a6cc486613,5,ID Card,7342414,2035-01-23,True
18243e1b-ed4c-4d99-92c9-2e002a21d3b9,6,ID Card,3090396,2027-07-20,True
3f474ae9-448e-446e-825c-d3bc35e2813d,7,Health Card,9517709,2031-12-26,True
3411ac05-b8bb-4b50-85b7-fe56e75790ce,8,Passport,2214651,2034-09-06,True
2684a0a4-8f57-4c34-be83-1ff861a04d88,9,Health Card,8980247,2033-08-17,True
6b706fb3-4975-4a05-8713-4a18cf6d3e7e,10,Passport,9257650,2035-03-30,True
03cf4cb1-a5ad-43a3-b98a-ed34fe404290,11,Passport,9990239,2034-06-10,True
5ccedf10-46a0-49af-acb8-09d7499c74a1,12,Passport,7101564,2030-02-06,True
6324bef7-765d-4df9-b235-db722947cb15,13,ID Card,5373452,2028-02-07,True
cb29ba25-b599-497c-93d4-7f5ccd7f7ede,14,Health Card,8293303,2030-06-04,True
af933786-59c0-4b41-a3f7-2e98ac229c96,15,Passport,8813820,2029-04-23,True
f48de949-aebe-478e-9df2-0bcd5ae329a3,16,Health Card,4023955,2030-04-12,True
a9169360-ec61-41ca-81dd-d07be3305527,17,Health Card,5116387,2030-07-20,True
43659ba3-c647-45ac-8ee2-5342df777673,18,ID Card,3950358,2033-05-01,True
48f2baef-f9d6-45c1-bcfb-9a6ddd096a89,19,ID Card,6794602,2032-08-14,True
1b2ed70f-041d-4b1d-ae87-f644ef008094,20,ID Card,2970940,2033-06-29,True
bb4b4b5a-f7f4-43cc-bd41-c4ec7716a49b,21,Passport,7896391,2032-01-07,True
7d4e31c9-2192-4c83-b871-138ee50de170,22,Health Card,2027563,2031-05-18,True
022c35c5-d5c5-429e-911c-98e646f308a8,23,Health Card,9843897,2028-12-16,True
c72e2b5c-12ab-4b4a-bad5-f2bd3b0a352f,24,Health Card,3972048,2028-04-22,True
54d0f00d-61b3-48d6-b415-76f3f66a457a,25,Health Card,2996298,2034-10-17,True
10b9a18b-e3f2-40c7-8fbc-c347beb7ff3b,26,Passport,3441958,2034-08-21,True
b9bb23b1-1323-4a70-8c27-37cb25c24f84,27,ID Card,8625190,2028-01-15,True
fe88ec76-e491-4ac6-bc0a-6f23e8fa08c8,28,Health Card,6528709,2029-08-25,True
52d798fb-27ce-428b-9e41-7679d978d396,29,ID Card,6673605,2030-01-29,True
94a63135-5a3c-4c51-b9a9-ccacd1395db0,30,Health Card,1020867,2030-12-11,True
ae75a108-bd05-4cc0-9a1e-6a642881e300,31,ID Card,7439681,2033-07-17,True
88f3e5eb-1b18-4e23-9465-5f435549d6ab,32,Passport,7709982,2027-11-08,True
ec9e3399-3669-46e6-aef3-dd00179b2ddf,33,Passport,5908577,2035-11-29,True
16565ccc-5350-48d4-a49f-4514879a6770,34,Health Card,6504458,2028-08-24,True
56166bf0-34c4-45e0-8c24-a32f1dce0a9c,35,ID Card,4192815,2035-01-01,True
b1dfd475-37c8-4b98-b2c8-8f97962ae20f,36,Health Card,9494686,2032-08-14,True
d7eba16f-fd9e-4451-9f82-e616e6a136a9,37,ID Card,9360822,2027-12-04,True
acf33989-7ac8-44d8-961f-9197ca04f6f3,38,Passport,9900757,2034-01-20,True
c63136c7-781e-44cd-9845-cfe2bf544a60,39,ID Card,2205762,2027-03-13,True
9c3d10d2-ced0-4d7a-90f8-39df8b558f0a,40,Health Card,7806241,2033-11-09,True
b4232b35-5399-4c78-abb5-16e759b3a78e,41,ID Card,2783753,2034-01-25,True
fc0d6582-451b-400b-a9dc-c5d413e3b6b0,42,ID Card,1245279,2034-12-10,True
6726a31f-693f-4e67-809b-808f46906d4b,43,Passport,4577472,2027-06-24,True
bb7a9546-1d12-4de6-a02c-9ca96ad93c65,44,Health Card,8192979,2034-11-11,True
c13b97b3-4874-4475-b370-e3ec6db29ede,45,Health Card,9054865,2029-09-11,True
